paras,label
"स्नातक तह विज्ञान तथा प्रविधि (.5०.(५।1) विषय चौथो्षाई अरदी शत्र - २०७६

त्रिभुवन विश्वविद्यालय, विज्ञान तथा प्रविधि अध्ययन संस्थान, डीनको कार्यालय, परीक्षा शाखा, बल्खुवाट सेमेष्टर परीक्षा प्रणाली

अनुसार संचालन गरिने चार वर्षे स्नातक तह कम्प्यूटर विज्ञान तथा सूचना प्रविधि ( 3.5८.051 ) विषय चौथो वर्ष आठौं

शत्र-२०७६ समूहको नियमित तथा सोही शत्रको सो भन्दा अगाडिका समूहको आशिक परीक्षार्थीहरुको मिति २०८१।०३।२३ गते
देखि संचालन हुने परीक्षाको परीक्षा केन्द्र निम्नानुसार तोकिएकोले सम्बन्धित सवैको जानकारीको लागि यो सूचना प्रकाशित
गरिएको छ । :

क) काठमाडौं बर्नहार्ट कलेज, बाफल केन्द्र : १) पाटन संयुक्त क्याम्पस २) प्राइम कलेज ३) डीरवाक इन्स्टीच्यूट अफ
टेक्नोलोजी ४) एकेडेमिया इन्टरनेशनल कलेज ५) हिमालय कलेज अफ इन्जिनियरिङ्ग ६) नेपालय कलेज ७) एशियन
कलेज अफ हाईयर स्टडीजका सम्पूर्ण परीक्षार्थीहरु ।

ख) नेपालय कलेज, कलंकी केन्द्र : १) अमृत क्याम्पस २) एम्विशन कलेज ३) नेशनल कलेज अफ कम्प्यूटर स्टडीज ४)
संगरमाथा कलेज अफ साइन्स एण्ड टेक्नोलोजी ५) नागार्जुना कलेज अफ हइन्फरमेशन टेक्नोलोजी ६) एशियन स्कूल अफ

ग) संमृद्धि कलेज, लोकन्थली, भक्तपुर केन्द्र : १) भक्तपुर बहुमुखी क्याम्पस २) क्याथफोर्ड इन्टरनेशनल कलेज अफ
इन्जिनियरिङ्ग एण्ड म्यानेजमेन्ट ३) सेन्ट लरेन्स कलेज ४) कलेज अफ एप्लाईड बिजनेस ५) बेदास कलेज ६) टेक्सास
इन्टरनेशनल कलेज ७ स्वष्तिक कलेज ८) काठमाडौं कलेज अफ टेक्नोलोजी ९) निष्ट कलेजका सम्पूर्ण परीक्षार्थीहरु ।

घ) एम्बिशन कलेज, वानेश्वर केन्द्र : १) पद्कन्या बहुमुखी क्याम्पस २) सेन्ट जेभियर्स कलेज ३) न्यू समिट कलेज
४) काठमाडौं वर्नहार्ट कलेज ५) अर्किङ इन्टरनेशनल कलेज ६) मदन भण्डारी मेमोरियल कलेज ७) ट्विनिटी इन्टरनेशनल
कलैज ८) संमृद्धि कलेजका सम्पूर्ण परीक्षार्थीहरु ।

ङ) डिगी क्याम्पस, विराटनगर केन्द्र :१) महेन्द्र मोरङ्ग आदर्श बहुमुखी क्याम्पस २) विराट मल्टिपल कलेज ३) एम्स कलेज

४) हिमालय दर्शन कलेज ५) विराट क्षितिज कलेज ६) निहारीका कलेजका सम्पूर्ण परीक्षार्थीहरु ।
च) केन्द्रीय प्रविधि क्याम्पस, धरान केन्द्र : १) वीरेन्द्र मेमोरियल कलेज २) गोदावरी कलेजका सम्पूर्ण परीक्षार्थीहरु ।
छ) मेची वहुमुखी क्याम्पस, मेची केन्द्र : १) मेची बहुमुखी क्याम्पसका सम्पूर्ण परीक्षार्थीहरु ।
ज) दमक वहमुखी क्याम्पस, दमक केन्द्र : १) श्रीयन्त्र कलेजका सम्पूर्ण परीक्षार्थीहरु ।

झ) रामस्वरुप रामसागर बहमुखी क्याम्पस, जनकपुर केन्द्र : १) रामस्वरुप रामसागर वहुमुखी क्याम्पसका सम्पूर्ण परीक्षार्थीहरु ।

ब) मकवानपुर वहुमुखी क्याम्पस, हेटौंडा केन्द्र : १) हेटौंडा सिटी कलेजका सम्पूर्ण परीक्षार्थीहरु ।

ट) ठाक्रराम वहुमुखी क्याम्पस, वीरगञ्ज केन्द्र : १) नेशनल इन्फोटेक कलेजका सम्पूर्ण परीक्षार्थीहरु ।

ठ) वीरेन्द्र वहुमुखी क्याम्पस, भरतपुर केन्द्र :१) वीरेन्द्र वहुमुखी क्याम्पस २) चितवन कलेज अफ टेक्नोलोजी ३) लुम्वीनी
आई.सि.टि. क्याम्पसका सम्पूर्ण परीक्षार्थीहरु ।

ड) पृथ्वीनारायण क्याम्पस, पोखरा केन्द्र : १) पृथ्वीनारायण क्याम्पस २) माउण्ट अन्नपूर्ण क्याम्पस ३) सोच कलेजका सम्पूर्ण
परीक्षार्थीहरु ।

ढ) वुटवल वहुमुखी क्याम्पस, वुटवल केन्द्र : १) वुटवल वहुमुखी क्याम्पस २) लुम्विनी सिटी कलेज ३) नेपथ्य कलेजका सम्पूर्ण
परीक्षार्थीहरु ।

ण) भैरहवा वहुमुखी क्याम्पस भैरहवा केन्द्र : १) भैरहवा बहुमुखी क्याम्पसका सम्पूर्ण परीक्षार्थीहरु ।

त) महेन्द्र वहुमुखी क्याम्पस, नेपालगञ्ज केन्द्र :१) महेन्द्र बहुमुखी क्याम्पस २) नेपालगञ्ज क्याम्पस ३) वाँकै वागेश्वरी
कलैजका सम्पूर्ण परीक्षार्थीहरु ।

थ) महेन्द्र वहुमुखी क्याम्पस, दाङ्ग केन्द्र : १) अम्विकेश्वरी क्याम्पसका सम्पूर्ण परीक्षार्थीहरु ।

",Education
"फोन नं. ४२४४०४७

1918.0. नपाम्पस प्रमुखको नम्लिन
८
4 ६ सरस्वती सदन, काठमाण्डौ ।

45५//५४ 5% ..
47/14409 मिति :- २०८०।०५।०६

कक्षा स्थगित हुने बारेको सूचना !

पत्र संख्या :-

दिनहरुमा १०:३० - ४:०० वजे सम्म निम्न कोठाहरुका सैद्धान्तिक कक्षाहरु स्थगित
गरिएको व्यहोरा सम्वन्धित सवैलाइ सूचित गरिन्छ ।
कक्षा स्थगित हुने दिन र कोठाहरु

२०८०।०५।०८ गते ्पा 3पाता)8 का सबै तथा 9०16106 3101 का
सवै ।

२०८०।०५४।१० गते पा1] 3101४ का सबै तथा ३०९९९ 3िपाता? का
सवै ।

२०८०।०५।१२ गते परा०8] 3पा1त8 का सबै तथा ३०९९९ 3प11९ को
कोठा न.२ वाहेक सवै ।

२०८०।०५।१५ गते पि 9पाता)8 का सबै तथा ३८०९९९ 3िप0 को
10०. श ।

२०८०।०५।१७ गते पा0ा 3पाता8 का सबै तथा ३८०९९९ 3ता) को

कोठा नं. ३।

१ ८890०

छ ११:९८०

नुत

",Education
") विषय दोश्रो वर्ष चौथो शत्र-२०७८ समूहको पुनर्यागको

तथा सुचना प्रविधि 3.9९.७।)
नतिजा प्रकाशन गरिएको सूचना
१ साल असार १७ गते प्रकाशित कम्प्यूटर विज्ञान त

चौथो शत्र २०७८ समूहको नियमित त
लागि आवेदन गर्ने देहायका परीक्षार्थीहरुको नतिजा

स्नातक तह कम्प्युटर विज्ञान तथा

यस अध्ययन संस्थानद्वारा २०८

3.3९.(511) विषय दोश्रो वर्ष
े परीक्षाफलको प्राप्ताङ्गमा चित्त नबुझी पुनर्योगका
",Education
"त्रिभुवन विश्वविश्वालय शाताप, रिवपाभातण, पटाा
1: 977-4-302727, थ०८: 4277585

पपणाएरका एगाटाडछ ३, वाब्य ८: ५५५.८ा.०४.

परीक्षा नियन्त्रण कार्यालय "" विग्य बल्बु, काठमाडौ, नेपाल ।

एा८४ ०४१४६ ८०२२०छौ० फोन : ४३०२७२७, फूयाक्स : ४२७७६८५
०० १५चाप05

पत्र संख्या : भिति/0८: २०८१/५।२५
प२८८/८०८८/५० :

सूचना

त्रिभुवन विश्वविद्यालय, परीक्षा नियन्त्रण कार्यालय, बल्खुद्वारा २०८१ आश्विन महिनामा
संवचालन हुने वार्णिक परीक्षा प्रणाली अन्तर्गत ४ वर्षे स्नानक तह दोस्गो वर्षको परीक्षा आवेदठन
फाराम मर्ने समय २०८१ भाद् २३ गतेसम्म कायम गरिएकोमा केही क्याम्पसमा अझै इन्ट्र
कार्य बाँकी रहेकोले २०८१।५।२५ गतेदेखि दोव्बर दस्तुरमा ३ दिनसम्म इन्ट्री गर्न 00९
९५८९५५ खुला गरिएकाले सोही अवधि भित्र इन्ट्री कार्य सम्पन्न गर्न सम्बनिधत सबै
क्याम्पसलाई सूचित गरिन्छ। ।

पुनश्च :

नियमित प्रथम वर्षको रजिष्ट्रेशन इन्ट्री कार्य पनि सोही अवधिसम्मको लागि खुलाइएकोले छुट
हुन गएका फाराम इन्ट्री गर्न पनि सूचित गरिन्छ ।

परीक्षा नियन्त्रक
",Education
"त्रिभुवन विश्वविद्यालय
विज्ञान तथा प्रविधि अध्ययन संस्थान
डीनको कार्यालय
त्रि.वि., कीर्तिपुर

नतिजा प्रकाशन सम्बन्धी सूचना
यस विज्ञान तथा प्रविधि अध्य्यन संस्थान डीनको कार्यालयबाट २०८०/०८१ सालमा 9.1).
२८६५।० 2023 अनुसार सञ्चालित पिएच.डी. प्रथम सेमेस्टरको परीक्षाको परीक्षाफल मिति

२०८१/०४/८ गतेको निर्णयानुसार प्रकाशित गरिएको छ । सो परीक्षामा निम्नाङ्कित क्रमाङ्क
भएका परीक्षार्थीहरू उत्तीर्ण भएका छन्‌।

12 23 ३२ , 43
२ 13 24 3३ 44
३ 16 25 ३4 45
4 17 २6 ३५ 46
7 18 २7 ३6 47
8 19 २8 ३7
9 २० २१ ३9
10 21 ३० 40
11 22 ३1 42

परीक्षाफल सकेसम्म घुटि रहित होस्‌ भन्ने उद्देश्य राखी प्रकाशित गरिएको छ तापनि छापाइ तथा अन्य
कनै कारणवश त्रुटि देखिएमा यस कार्यालयको अभिलेखबाट सच्याइने वेहोरा अवगत गराइन्छ ।

मिति : २०८१/४/८

",Education
"विज्ञान तथा प्रविधि अध्ययन संस्थान
डीनको कार्यालय, परीक्षा शाखा
बल्खु,काठमाडौं ।

त्रिभुवन विश्वविद्यालय, विज्ञान तथा प्रविधि अध्ययन संस्थान, डीनको कार्यालय, परीक्षा शाखा, बल्खुद्वारा सेमेष्टर परीक्षा
प्रणाली अन्तर्गत 0018 5श अनुसार २०८१ साल जेष्ठ/असार महिनामा संचालन भएको स्नातक तह
4श0ा 1 (0९0९ 5०।०८ विषय चौथो वर्ष सातौं शत्र २०७७ समूहको नियमित तथा सोही शत्रको
सो भन्दा अगाडिका समूहको आंशिक परीक्षाको परीक्षाफल विज्ञान तथा प्रविधि अध्ययन संस्थान, परीक्षा संचालक
समितिको निर्णयानुसार प्रकाशित गरिएको छ । सो परीक्षामा निम्नाकित क्माक भएका परीक्षार्थीहरु उत्तीर्ण भएका छन्‌।

1. ९००० ४ विधाहाव0९ ५०६९९

85201/077 85 202/077 85 203/077 815 204/077 85205/077 815 207/077
85208/077 85210/077 815 211/077 859213/077 85 214/077 815 215/077
85216/077 8/श5217/077 859 218/077 8/5219/077 85220/077 85 221/077
85 222/077 85 223/077 8/59 224/077 8159225/077 85226/077 815 227/077
89228/077 85 229/077 85 230/077 85 231/077 8/5 233/077 815 234/077
5235/077 815161/076 85 179/076 85 107/075 85108/075 85 54/074

लब्धांक पत्र सम्बन्धित क्याम्पस/ कलेजबाट प्राप्त हुनेछ ।
परीक्षाफल सकेसम्म त्रुटी रहित होस्‌ भन्ने उद्देश्य राखी प्रकाशित गरिएको छ तापनि छपाई तथा अन्य कुनै कारणबाट

त्रुटी देखिएमा यस कार्यालयको अभिलेखबाट सच्याइने व्यहोरा अवगत गराइन्छ ।

पुनर्योग गर्न चाहने परीक्षार्थीहरुले परीक्षाफल प्रकाशित भएको मितिले २० दिन भित्र पुनर्यौगको लागि आवेदन दिई
सक्नु पर्ने छ

मिति : २०८१।०५।०१ ८ १५, सहायक डीन

9६ि?

भ१क) ब न

२०९
",Education
"ब

त्रिभुवन विश्वविद्यालय १
विज्ञान तथा प्रविधि अध्ययन संस्थानै

.
डीनको कार्यालय, परीक्षा शाखा ) ्ठ

बल्खु,काठमाडौं । 2०४

त्रिभुवन विश्वविद्यालय, विज्ञान तथा प्रविधि अध्ययन संस्थान, डीनको कार्यालय, परीक्षा शाखा, बल्खुद्वारा सेमेष्टर
परीक्षा प्रणाली अन्तर्गत 08418 5५४ अनुसार २०८१ साल असार महिनामा संचालन भएको स्नातकोत्तर तह
जल तथा मौसम विज्ञान विषय प्रथम वर्ष प्रथम शत्र २०८० समूहको नियमित तथा सौही शत्रको सो भन्दा अगाडिका
आशिक परीक्षाको परीक्षाफल विज्ञान तथा प्रविधि अध्ययन संस्थान, परीक्षा संचालक समितिको निर्णयानुसार प्रकाशित
गरिएको छ ।सो परीक्षामा निम्नाकित कमांक भएका परीक्षार्थीहरु उत्तीर्ण भएका छन्‌ ।

. ५८ाार ()0. )पा
8022001 8022002 8022005 8022006 8022007 8022008

8022009 8022010

लब्धांक पत्र सम्बन्धित क्याम्पस/ कलेजवाट प्राप्त हुनेछ ।

परीक्षाफल सकेसम्म त्रुटी रहित होस्‌ भन्ने उद्देश्य राखी प्रकाशित गरिएको छ तापनि छपाई तथा अन्य कुनै कारणबाट

- पुनर्योग गर्न चाहने परीक्षार्थीहरुले परीक्षाफल प्रकाशित भएको मितिले २० दिन भित्र पुनर्योगको लागि आवेदन दिई
सक्नु पर्ने छ

मिति : २०८१।०४।१८ सहायक डीन
",Education
"विज्ञान तथा प्रविधि अध्ययन संस्थान ७५
डीनको कार्यालय

श्क्षि : २७
परीक्षा शाखा, बल्बु खेकी ००
स्नातक तह कम्प्युटर विज्ञान तथा सुचना प्रविधि (9.5९.()विषय तेश्रो वर्ष मैक् शैत्र - २०७८ समूहको
परीक्षा केन्द्र सम्बन्धी सुचना

अनुसार संघालन गरिन ाए को शनको सो भन्दा बगाडिका समूको आगिक परीकषर्थीहरुो मिति ००७

गरिएको छ । .

परिएको छ ो बयाम्पस, बागबजार केद: १। अुत वयाम्पस, २) बयायोरड इन्टरनेशन कलैज ने टडो
एण्ड म्यानेजमेन्ट ३ म्पस, बान ज ४ कलेज अफ एप्लाईड बिजनेस २५ नेशनल कलेज अफ कम्पयूटर स्टडीज
पण्ड म्यानेजसन्ट म्यानजमेन्ट एण्ड टेसनोलोजी ७) डिनिटी इन्टरनेशनल कलेजका सम्पर्ण परीक्षाथीर

छ पपालय कमेज, कलकी केना : १। प॒कन्या बहुमुखी स्यामपस र सेन्ट जभियर्स कलेज परवम कन े अफ
नेपालय कक्षेण, कर्णकी के साइन्स एण्ड टेक्नोलोजी ९) एकेडेमिया इन्टरनेगनल कसेज ७। हिमालय बलेज ना
कलेन २ संगरमाथा नडारी अमोरियल कलेज ९। एियन कलेज अफ हाईयर स्टडीजका सम्परण परीक्षा्ीहर
रान अैज, बानेश्वर केना : १। पाटन संयुकत व्याम्पस २ न्यू सभिट कलेज ३) डीरवाक इन्सीन्यट भफ देशनीलाली
४) समृद्धि कलेजका सम्पूर्ण परीक्षार्थीहरु ।

) रढि कलेज, लोकन्धली, भकतपुर केना १) मक्तपुर बहुमुखी क्याम्पस २) काठमाडौँ वर्नहाट कवै ेषालोजी
समृदि कलेज, लोकन्सली भ किड इन्टरनेशनल कलेज ९ नागार्जना कलेज अफ ्फरमेगन दैकनीलोजी
) टेक्सास बन्टरनेशनन क कलेज ९ काठमाडौं कलेज अफ टेक्नोलोजी १०) निष्ट कलेजका सम्पर्ण परीक्षर्थीहरु

दियो स्याम्पस, विराटनगर केना महेद्र मौर्ग आदर्श बहुमुखी व्याम्पस २ विराट मन्टियल कलेज २) पम्त सेन

ष्फै

डपी नि कलेज ५) विराट सितिज कलेज ९ निहारीका कलेजका सम्पर्ण परीक्षार्थीहरु
) कनीय प्रविधि म्याम्पस, बरान कैन्द्र: १) केनरीय प्रविधि व्याम्पस २) बीरिा मैमीरियल कलैज ३ गौयावरी कलेनला
सम्पुर्ण परीक्षार्थीहरु ।
छ) मेची वहुमुखी क्याम्पस, मेची केनद्: १) मेघी बहुमुखी क्याम्पसका सम्पर्ण परीक्षार्ीहरु।
ज) दमक वहुमुखी क्याम्पस, दमक केन्दर : १) श्रीय्त्र कलेजका सम्पर्ण परीक्षार्थीहरु
मसवरप रामसागर वहमुखी क्याम्पस, जनकपुर केना : १। रामस्वरुप रामसागर बहुमुखी क्याम्पसका सम्पूर्ण परीक्र्थीहरु
न) मकवानपुर वहुमुखी व्याम्पस, हेटौँडा केन्द्र १) हेटौडा सिटौ कलेजका सम्पूर्ण परीआर्थीहरु ।
८) डाकुरराम वहुमुखी क्याम्पस, वीरगञ्ज केन्र १ नेशनल इन्फोटेक कलेजका सम्पूर्ण परीक्षा्ीहरु
) बारेनर वहमुषी क्यम्पस, भरतपुर केन ३। बीरा वहमुयी क्याम्पस २) चितवन क्लैज अफ डेलोलोनी २ कुीत
पशण सामर पंचर के प॒माणर सान २ मका अनूण सामाण स स
क्षा

बगन गाया सामर, इस्यण कर १। ब गपा सामा २ बननी जी सेज न स
क्षार्थीहरु ।

ण) भैरहवा वहुमुखी म्याम्पस, भैरहवा केन्द्र २: भैरहवा- वहुमुखी क्याम्पसका सम्पूर्ण परीक्षार्थीहरु ।

त) महेन वहुमुखी न्याम्पस, नेपालग्ज केन्द्र २ मरेन्द बहुमुखी स्याम्पस २ नेपालगन्ण व्याम्पम ३) वकै बागेशकरी कलेशली
सम्पुर्ण परीक्षार्थीहरु ।

थ) महेन्द्र वहुमुखी क्याम्पस, दाङ्ग केन्द्र :: महेन्द्र बहुमुखी क्याम्पस २) अभ्विकेश्वरी क्याम्पसका सम्पूर्ण परीक्षार्थीहरु ।
द) सिनाथ विज्ञान क्याम्पस, महेन््रगगर केन््र : १) सिदनाथ विज्ञान क्याम्पसका सम्पूर्ण परीक्षाथीहरु ।
अन्य कुराहरु पूर्व प्रकाशित सूचना अनुसार नै हुनेछ।

",Education
"१ . प र
शनको (
शीक्रोपुर २० त्रिभुवन विश्वविद्यालय
विज्ञान तथा प्रविधि अध्ययन संस्थान
डीनको कार्यालय, परीक्षा शाखा
बल्खु,काठमाडौं ।

त्रिभुवन विश्वविद्यालय, विज्ञान तथा प्रविधि अध्ययन संस्थान, डीनको कार्यालय, परीक्षा शाखा, बल्खुद्वारा सेमेष्टर
परीक्षा प्रणाली अन्तर्गत 08५48 5४ अनुसार २०८१ साल श्रावण महिनामा संचालन भएको स्नातकोत्तर तह
[0ला ि ९4ा /5450 (:11)) विषय प्रथम वर्ष प्रथम शत्र २०८० समूहको नियमित परीक्षाको
परीक्षाफल विज्ञान तथा प्रविधि अध्ययन संस्थान, परीक्षा संचालक समितिको निर्णयानुसार प्रकाशित गरिएको छ । सो
परीक्षामा निम्नाकित कमांक भएका परीक्षार्थीहरु उत्तीर्ण भएका छन्‌ ।

1. (५८२ (मा)०, ५)पा
8018001 8018002 8018003 8018004 8018005 8018006

801800

लब्धांक पत्र सम्बन्धित क्याम्पस/ कलेजबाट प्राप्त हुनेछ ।

परीक्षाफल सकेसम्म त्रुटी रहित होस् भन्ने उद्देश्य राखी प्रकाशित गरिएको छ तापनि छपाई तथा अन्य कुनै कारणबाट
त्रुटी देखिएमा यस कार्यालयको अभिलेखबाट सच्याइने व्यहोरा अवगत गराइन्छ ।

पुनर्योग गर्न चाहने परीक्षार्थीहरुले परीक्षाफल प्रकाशित भएको मितिले २० दिन भित्र पुनर्योगको लागि आवेदन दिई
सक्नु पर्ने छ

मिति : २०८१।०५।१९ सहायक डीन
",Education
"चार वर्ष स्नातक तह विज्ञान तथा प्रविधि (3.५९.(५1) विषयमा २०८१
सालको नयाँ विद्यार्थी भर्नाका लागि आवैदन फारम भर्ने म्याद तथा प्रवेश
परीक्षाको तालिका र परीक्षा समय सम्वन्धी

त्रिभुवन विश्वविद्यालय, विज्ञान तथा प्रविधि अध्ययन संस्थान, अन्तर्गतका आंगिक क्याम्पस तथा सम्बन्धन
प्राप्त कलेजहरुमा सेमेष्टर परीक्षा प्रणाली अन्तर्गत (808 3%56) अनुसार पठन पाठन हुने विज्ञान तफ
चार वर्ष स्नातक तह कम्प्युटर विज्ञान तथा सूचना प्रविधि (3.5८.0511) विषयमा भर्ना हुन इच्छुक
विद्यार्थीहरुको निमित्त 0॥17९ माध्यमबाट आवैदन फारम भर्ने म्याद तथा प्रवेश परीक्षाको तालिका र परीक्षा

फारम भर्ने म्याद तथा प्रवेश परीक्षा तालिका र परीक्षा समय :
४ नियमित दस्तुर तिरी आवेदन फारम बुझाउने मिति :२०८१।०५।०६ गते सम्म ।
% दोब्वर दस्तुर तिरी आवेदन फारम बुझाउने मिति :२०८१।०५।०७ गते देखि २०८१।०५।११ गते सम्म ।
% प्रवेश परीक्षा मिति : २०८१ साल भाद्र १५ गते शनिबार ।
% पवेश परीक्षा समय : दिनको १:०० बजे देखि ३:०० बजे सम्म ।

अन्य जानकारीको लागि १५९७०४।९: 10४. पि.९त४.॥]) मा हेर्न सकिने छ । ३
",Education
